"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Dinosauria&taxon_reso=species&idqual=certain&pres=regular&interval=Triassic,Cretaceous&show=acconly"
"Access Time","Wed 2019-06-12 10:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Dinosauria"
"","idreso","species"
"","idqual","certain"
"","interval","Triassic,Cretaceous"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","acconly"
"Elapsed Time","0.428"
"Records Found","3189"
"Records Returned","3189"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"130209","occ","","","10755","Chaoyangsaurus youngi","species","55580","Late Tithonian","Valanginian","150.8","132.9","13360"
"130294","occ","","","10764","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","130","122.46","4006"
"130295","occ","","","10764","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","130","122.46","19421"
"139242","occ","24752","","11890","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","13165"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","Late Campanian","","83.5","70.6","16964"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","4205"
"139254","occ","13634","","11897","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","17547"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","Maastrichtian","","72.1","66","9259"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","70.6","66","4205"
"139257","occ","","","11900","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","12347"
"139258","occ","18014","","11901","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","9259"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","Late Campanian","","83.5","70.6","4205"
"139260","occ","23238","","11604","Isisaurus colberti","species","64311","Maastrichtian","","72.1","66","4177"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","Late Campanian","","83.5","70.6","4205"
"139290","occ","23303","","11915","Daspletosaurus torosus","species","57258","Middle Campanian","","83.5","70.6","4205"
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","Maastrichtian","","72.1","66","4218"
